,obs,reward
0,"[array([ 0.03185927, -0.00713996,  0.01664849,  0.00014282]), array([ 0.03171647,  0.18773932,  0.01665135, -0.28724116]), array([ 0.03547126,  0.3826199 ,  0.01090652, -0.57462623]), array([ 0.04312365,  0.18734676, -0.000586  , -0.27852749]), array([ 0.04687059,  0.38247706, -0.00615655, -0.57139518]), array([ 0.05452013,  0.5776848 , -0.01758445, -0.86601126]), array([ 0.06607383,  0.7730416 , -0.03490468, -1.16417072]), array([ 0.08153466,  0.57839103, -0.05818809, -0.8826326 ]), array([ 0.09310248,  0.77425293, -0.07584075, -1.19302587]), array([ 0.10858754,  0.97027084, -0.09970126, -1.50848334]), array([ 0.12799295,  0.7764888 , -0.12987093, -1.24851742]), array([ 0.14352273,  0.97301429, -0.15484128, -1.57889794]), array([ 0.16298302,  1.16960434, -0.18641924, -1.91559666]), array([ 0.1863751 ,  1.36618068, -0.22473117, -2.25984277])]",13.0
1,"[array([ 0.01752567, -0.00690235,  0.0352808 , -0.00283719]), array([ 0.01738762, -0.20251205,  0.03522406,  0.30076517]), array([ 0.01333738, -0.39811789,  0.04123936,  0.60434566]), array([ 0.00537502, -0.59379157,  0.05332628,  0.90972758]), array([-0.00650081, -0.39943032,  0.07152083,  0.63427062]), array([-0.01448941, -0.59547319,  0.08420624,  0.94859235]), array([-0.02639888, -0.79162172,  0.10317809,  1.26650002]), array([-0.04223131, -0.98789939,  0.12850809,  1.58963135]), array([-0.0619893 , -0.79451666,  0.16030072,  1.33962663]), array([-0.07787963, -0.6017344 ,  0.18709325,  1.10108746]), array([-0.08991432, -0.40950009,  0.209115  ,  0.87245308]), array([-0.09810432, -0.21774101,  0.22656406,  0.65211336])]",11.0
2,"[array([ 0.04558767, -0.02020978, -0.01111926, -0.01204107]), array([ 0.04518348,  0.17506986, -0.01136008, -0.30821142]), array([ 0.04868487, -0.0198884 , -0.01752431, -0.01913269]), array([ 0.04828711, -0.2147547 , -0.01790696,  0.26797   ]), array([ 0.04399201, -0.40961658, -0.01254756,  0.55495159]), array([ 0.03579968, -0.60456012, -0.00144853,  0.843655  ]), array([ 0.02370848, -0.79966228,  0.01542457,  1.13588205]), array([ 0.00771523, -0.60474548,  0.03814221,  0.84807628]), array([-0.00437968, -0.80036634,  0.05510373,  1.15250525]), array([-0.020387  , -0.60600483,  0.07815384,  0.87759779]), array([-0.0325071 , -0.41202701,  0.0957058 ,  0.61047307]), array([-0.04074764, -0.21836391,  0.10791526,  0.34940238]), array([-0.04511492, -0.41484194,  0.1149033 ,  0.67407053]), array([-0.05341176, -0.61135747,  0.12838472,  1.00060734]), array([-0.06563891, -0.41816324,  0.14839686,  0.75084248]), array([-0.07400217, -0.61498616,  0.16341371,  1.08630078]), array([-0.0863019 , -0.81184167,  0.18513973,  1.42548028]), array([-0.10253873, -0.6194268 ,  0.21364933,  1.19591103])]",17.0
3,"[array([ 0.00389339,  0.01870577, -0.0247755 , -0.02200756]), array([ 0.00426751, -0.17605228, -0.02521565,  0.2627566 ]), array([ 0.00074646, -0.37080539, -0.01996052,  0.54738079]), array([-0.00666965, -0.56564131, -0.0090129 ,  0.83370845]), array([-0.01798247, -0.37039738,  0.00766127,  0.53820469]), array([-0.02539042, -0.5656262 ,  0.01842536,  0.83329171]), array([-0.03670294, -0.760995  ,  0.0350912 ,  1.13171193]), array([-0.05192284, -0.56634959,  0.05772543,  0.85023825]), array([-0.06324984, -0.3720603 ,  0.0747302 ,  0.57625159]), array([-0.07069104, -0.17806104,  0.08625523,  0.30801512]), array([-0.07425226, -0.37429935,  0.09241553,  0.62660586]), array([-0.08173825, -0.57058148,  0.10494765,  0.94690418]), array([-0.09314988, -0.7669482 ,  0.12388573,  1.27063166]), array([-0.10848884, -0.96341459,  0.14929837,  1.59940197]), array([-0.12775714, -0.77034346,  0.18128641,  1.35674778]), array([-0.143164  , -0.96721668,  0.20842136,  1.70022499]), array([-0.16250834, -0.77501654,  0.24242586,  1.47899716])]",16.0
4,"[array([0.00654753, 0.0214421 , 0.0245395 , 0.04787517]), array([ 0.00697637, -0.17402297,  0.02549701,  0.3481984 ]), array([ 0.00349591, -0.36949812,  0.03246098,  0.64881113]), array([-0.00389405, -0.17484305,  0.0454372 ,  0.3665242 ]), array([-0.00739092, -0.37058024,  0.05276768,  0.67318089]), array([-0.01480252, -0.56639438,  0.0662313 ,  0.98199977]), array([-0.02613041, -0.37221947,  0.0858713 ,  0.71083377]), array([-0.0335748 , -0.17838504,  0.10008797,  0.4463686 ]), array([-0.0371425 , -0.37476994,  0.10901534,  0.76884846]), array([-0.0446379 , -0.57121009,  0.12439231,  1.09374655]), array([-0.0560621 , -0.37792666,  0.14626724,  0.84253869]), array([-0.06362063, -0.57470971,  0.16311802,  1.1774108 ]), array([-0.07511483, -0.7715303 ,  0.18666623,  1.51646701]), array([-0.09054543, -0.96835517,  0.21699557,  1.86113729])]",13.0
5,"[array([-0.00540698,  0.03250976, -0.01224127, -0.03931641]), array([-0.00475678, -0.16243454, -0.0130276 ,  0.24947928]), array([-0.00800548,  0.03287101, -0.00803801, -0.04728419]), array([-0.00734806,  0.22810729, -0.00898369, -0.3424923 ]), array([-0.00278591,  0.0331143 , -0.01583354, -0.05265578]), array([-0.00212362,  0.22845966, -0.01688666, -0.35029196]), array([ 0.00244557,  0.42381765, -0.02389249, -0.64825161]), array([ 0.01092192,  0.22903656, -0.03685753, -0.36318709]), array([ 0.01550265,  0.42466245, -0.04412127, -0.66726028]), array([ 0.0239959 ,  0.23018096, -0.05746647, -0.3887894 ]), array([ 0.02859952,  0.4260695 , -0.06524226, -0.69902301]), array([ 0.03712091,  0.23190987, -0.07922272, -0.42757081]), array([ 0.04175911,  0.42805924, -0.08777414, -0.74413916]), array([ 0.05032029,  0.23425126, -0.10265692, -0.48031881]), array([ 0.05500532,  0.43066115, -0.1122633 , -0.80351077]), array([ 0.06361854,  0.23724278, -0.12833351, -0.54814566]), array([ 0.0683634 ,  0.0441351 , -0.13929643, -0.29849273]), array([ 0.0692461 ,  0.24093934, -0.14526628, -0.63166054]), array([ 0.07406489,  0.43775732, -0.15789949, -0.96633624]), array([ 0.08282003,  0.24506779, -0.17722622, -0.72712739]), array([ 0.08772139,  0.4421394 , -0.19176876, -1.06993673]), array([ 0.09656418,  0.63920798, -0.2131675 , -1.41615589])]",21.0
6,"[array([ 0.02524135, -0.03969764, -0.02018107,  0.02401207]), array([ 0.02444739, -0.23452445, -0.01970083,  0.31025994]), array([ 0.0197569 , -0.42936025, -0.01349563,  0.59666527]), array([ 0.0111697 , -0.62429077, -0.00156233,  0.88506682]), array([-0.00131612, -0.81939147,  0.01613901,  1.17725819]), array([-0.01770395, -0.62448283,  0.03968417,  0.88967797]), array([-0.0301936 , -0.82012015,  0.05747773,  1.19456698]), array([-0.046596  , -1.01593734,  0.08136907,  1.50469687]), array([-0.06691475, -0.82189146,  0.11146301,  1.2384872 ]), array([-0.08335258, -1.01825452,  0.13623275,  1.56390629]), array([-0.10371767, -1.21471695,  0.16751088,  1.89579815]), array([-0.12801201, -1.41121227,  0.20542684,  2.23543377]), array([-0.15623626, -1.60760573,  0.25013552,  2.5838015 ])]",12.0
7,"[array([-0.03808831, -0.03057888, -0.01803385, -0.0067754 ]), array([-0.03869989,  0.164797  , -0.01816936, -0.30509323]), array([-0.03540395, -0.03006138, -0.02427122, -0.0181954 ]), array([-0.03600518, -0.22482699, -0.02463513,  0.26673194]), array([-0.04050172, -0.41958885, -0.01930049,  0.55154408]), array([-0.04889349, -0.61443449, -0.00826961,  0.83808411]), array([-0.06118218, -0.41920059,  0.00849207,  0.54281204]), array([-0.0695662 , -0.61444085,  0.01934831,  0.83815851]), array([-0.08185501, -0.41958839,  0.03611148,  0.55162257]), array([-0.09024678, -0.22499172,  0.04714393,  0.27053234]), array([-0.09474661, -0.42075361,  0.05255458,  0.5777041 ]), array([-0.10316169, -0.22640611,  0.06410866,  0.30202929]), array([-0.10768981, -0.42238041,  0.07014925,  0.61422189]), array([-0.11613742, -0.22830517,  0.08243369,  0.34443198]), array([-0.12070352, -0.42449713,  0.08932233,  0.66192867]), array([-0.12919346, -0.6207409 ,  0.1025609 ,  0.98134666]), array([-0.14160828, -0.81707665,  0.12218783,  1.30440282]), array([-0.15794981, -0.62369755,  0.14827589,  1.05233071]), array([-0.17042376, -0.82044116,  0.1693225 ,  1.38764145]), array([-0.18683259, -1.01721985,  0.19707533,  1.72813163]), array([-0.20717698, -0.82482087,  0.23163797,  1.50268526])]",20.0
8,"[array([-0.00876736, -0.02209063,  0.02019795,  0.03907145]), array([-0.00920917,  0.17273595,  0.02097937, -0.24717102]), array([-0.00575445,  0.36755209,  0.01603595, -0.53316344]), array([ 0.00159659,  0.56244488,  0.00537269, -0.82075067]), array([ 0.01284549,  0.7574929 , -0.01104233, -1.11173892]), array([ 0.02799534,  0.56251772, -0.03327711, -0.82254036]), array([ 0.0392457 ,  0.36786647, -0.04972791, -0.54050679]), array([ 0.04660303,  0.56365085, -0.06053805, -0.84843431]), array([ 0.05787604,  0.36940452, -0.07750674, -0.57538588]), array([ 0.06526413,  0.17544976, -0.08901445, -0.30809133]), array([ 0.06877313, -0.01829853, -0.09517628, -0.04475523]), array([ 0.06840716, -0.21193597, -0.09607138,  0.21644677]), array([ 0.06416844, -0.01558126, -0.09174245, -0.10492867]), array([ 0.06385681,  0.1807275 , -0.09384102, -0.42508794]), array([ 0.06747136,  0.37704474, -0.10234278, -0.74581693]), array([ 0.07501226,  0.1834727 , -0.11725912, -0.48701444]), array([ 0.07868171,  0.38003702, -0.12699941, -0.81423145]), array([ 0.08628245,  0.57664809, -0.14328404, -1.14401046]), array([ 0.09781542,  0.77332118, -0.16616425, -1.47797847]), array([ 0.11328184,  0.58057199, -0.19572382, -1.24146473]), array([ 0.12489328,  0.77759211, -0.22055311, -1.58852852])]",20.0
9,"[array([-0.01713055, -0.03427631, -0.03098826,  0.04570795]), array([-0.01781608,  0.16127597, -0.0300741 , -0.25658874]), array([-0.01459056,  0.3568141 , -0.03520587, -0.55860375]), array([-0.00745428,  0.55241209, -0.04637795, -0.86216732]), array([ 0.00359396,  0.35795128, -0.06362129, -0.58441997]), array([ 0.01075299,  0.16377553, -0.07530969, -0.31243767]), array([ 0.0140285 , -0.03019726, -0.08155845, -0.04442331]), array([ 0.01342455,  0.16599374, -0.08244691, -0.3616832 ]), array([ 0.01674443,  0.36218488, -0.08968058, -0.67918221]), array([ 0.02398813,  0.55843061, -0.10326422, -0.99869862]), array([ 0.03515674,  0.36482933, -0.12323819, -0.74014943]), array([ 0.04245332,  0.5614178 , -0.13804118, -1.06893605]), array([ 0.05368168,  0.75806856, -0.1594199 , -1.40156156]), array([ 0.06884305,  0.95477135, -0.18745113, -1.7395455 ]), array([ 0.08793848,  0.76221434, -0.22224204, -1.51055813])]",14.0
